url,image_url,name,category
https://www.diffordsguide.com/beer-wine-spirits/2242/wemyss-tullibardine-rum-and-raisin-1989-bottled-201,https://cdn.diffords.com/images/themes/default-v5/beer_wine_spirits/no-bottle-small.jpg,Wemyss Tullibardine Rum & Raisin 1989 (bottled 201,"Category: Spirits
Sub category: Whisk(e)y
alc./vol: 46"
https://www.diffordsguide.com/beer-wine-spirits/2556/longrow-1997-burgundy-wood-14-year-old,https://cdn.diffords.com/images/themes/default-v5/beer_wine_spirits/no-bottle-small.jpg,Longrow 1997 Burgundy Wood (14 Year Old),"Category: Spirits
Sub category: Whisk(e)y
alc./vol: 56.1"
https://www.diffordsguide.com/beer-wine-spirits/2809/wemyss-fresh-fruit-sorbet-single-cask-1997-clyneli,https://cdn.diffords.com/contrib/bws/2017/10/59db8e76f4194.jpg,Wemyss Fresh Fruit Sorbet Single Cask 1997 Clyneli,"Category: Spirits
Sub category: Whisk(e)y
alc./vol: 46"
https://www.diffordsguide.com/beer-wine-spirits/3050/the-balvenie-fifty,https://cdn.diffords.com/contrib/bws/2017/10/59db8fa15cd8d.jpg,The Balvenie Fifty,"Category: Spirits
Sub category: Whisk(e)y
alc./vol: 44.1"
https://www.diffordsguide.com/beer-wine-spirits/3167/glen-garioch-1995,https://cdn.diffords.com/contrib/bws/2017/10/59db906a4004b.jpg,Glen Garioch 1995,"Category: Spirits
Sub category: Whisk(e)y
alc./vol: 55.3"
https://www.diffordsguide.com/beer-wine-spirits/3202/speyburn-25-year-old,https://cdn.diffords.com/contrib/bws/2017/10/59db90a0b8227.jpg,Speyburn 25 Year Old,"Category: Spirits
Sub category: Whisk(e)y
alc./vol: 46"
https://www.diffordsguide.com/beer-wine-spirits/3394/caol-ila-25-year-old,https://cdn.diffords.com/contrib/bws/2017/10/59db919748f31.jpg,Caol Ila 25 Year Old,"Category: Spirits
Sub category: Whisk(e)y
alc./vol: 43"
https://www.diffordsguide.com/beer-wine-spirits/3594/jura-1977,https://cdn.diffords.com/images/themes/default-v5/beer_wine_spirits/no-bottle-small.jpg,Jura 1977,"Category: Spirits
Sub category: Whisk(e)y
alc./vol: 46"
https://www.diffordsguide.com/beer-wine-spirits/3948/the-arran-the-devils-punchbowl-chapter-ii,https://cdn.diffords.com/contrib/bws/2017/10/59db9482b3ac5.jpg,The Arran The Devil's Punchbowl Chapter II,"Category: Spirits
Sub category: Whisk(e)y
alc./vol: 53.1"
https://www.diffordsguide.com/beer-wine-spirits/3961/the-scotch-malt-whisky-society-12732,https://cdn.diffords.com/images/themes/default-v5/beer_wine_spirits/no-bottle-small.jpg,The Scotch Malt Whisky Society 127.32,"Category: Spirits
Sub category: Whisk(e)y
alc./vol: 65.2"
https://www.diffordsguide.com/beer-wine-spirits/3978/glen-garioch-virgin-oak,https://cdn.diffords.com/contrib/bws/2017/10/59db94b052a19.jpg,Glen Garioch Virgin Oak,"Category: Spirits
Sub category: Whisk(e)y
alc./vol: 48"
https://www.diffordsguide.com/beer-wine-spirits/4007/glengoyne-18-year-old,https://cdn.diffords.com/contrib/bws/2017/10/59db94e39df69.jpg,Glengoyne 18 Year Old,"Category: Spirits
Sub category: Whisk(e)y
alc./vol: 43"
https://www.diffordsguide.com/beer-wine-spirits/4075/lagavulin-21yo-special-release-2012,https://cdn.diffords.com/images/themes/default-v5/beer_wine_spirits/no-bottle-small.jpg,Lagavulin 21yo Special Release 2012,"Category: Spirits
Sub category: Whisk(e)y
alc./vol: 52"
https://www.diffordsguide.com/beer-wine-spirits/4079/glenfarclas-1973-family-cask-bot-2011,https://cdn.diffords.com/contrib/bws/2017/10/59db951a488b1.jpg,Glenfarclas 1973 Family Cask Bot. 2011,"Category: Spirits
Sub category: Whisk(e)y
alc./vol: 56.5"
https://www.diffordsguide.com/beer-wine-spirits/4080/lagavulin-feis-ile-2013-bot-2013-distilled-1995,https://cdn.diffords.com/images/themes/default-v5/beer_wine_spirits/no-bottle-small.jpg,"Lagavulin Feis Ile 2013, Bot. 2013, Distilled 1995","Category: Spirits
Sub category: Whisk(e)y
alc./vol: 51"
https://www.diffordsguide.com/beer-wine-spirits/4081/caol-ila-distillers-edition,https://cdn.diffords.com/contrib/bws/2017/10/59db951a72572.jpg,Caol Ila Distillers Edition,"Category: Spirits
Sub category: Whisk(e)y
alc./vol: 43"
https://www.diffordsguide.com/beer-wine-spirits/4082/caol-ila-feis-ile-2013-distilled-1998,https://cdn.diffords.com/contrib/bws/2017/10/59db951a99134.jpg,Caol Ila Feis Ile 2013 Distilled 1998,"Category: Spirits
Sub category: Whisk(e)y
alc./vol: 56.5"
https://www.diffordsguide.com/beer-wine-spirits/4084/highland-park-linn-40-year-old-limited-edition,https://cdn.diffords.com/contrib/bws/2017/10/59db951bc64e2.jpg,Highland Park Linn 40 Year Old Limited Edition,"Category: Spirits
Sub category: Whisk(e)y
alc./vol: 48.3"
https://www.diffordsguide.com/beer-wine-spirits/4107/douglas-laing-old-particular-single-cask-macduff-2,https://cdn.diffords.com/images/themes/default-v5/beer_wine_spirits/no-bottle-small.jpg,Douglas Laing Old Particular Single Cask Macduff 2,"Category: Spirits
Sub category: Whisk(e)y
alc./vol: 41.9"
https://www.diffordsguide.com/beer-wine-spirits/4129/the-dalmore-25-year-old,https://cdn.diffords.com/contrib/bws/2017/10/59db954820946.jpg,The Dalmore 25 Year Old,"Category: Spirits
Sub category: Whisk(e)y
alc./vol: 42"
https://www.diffordsguide.com/beer-wine-spirits/4173/convalmore-36-year-old-distilled-1977,https://cdn.diffords.com/contrib/bws/2017/10/59db957f7d406.jpg,"Convalmore 36 Year Old, Distilled 1977","Category: Spirits
Sub category: Whisk(e)y
alc./vol: 58"
https://www.diffordsguide.com/beer-wine-spirits/4175/lagavulin-37-year-old-distilled-1976,https://cdn.diffords.com/contrib/bws/2017/10/59db95810ae2f.jpg,"Lagavulin 37 Year Old, Distilled 1976","Category: Spirits
Sub category: Whisk(e)y
alc./vol: 51"
https://www.diffordsguide.com/beer-wine-spirits/4177/port-ellen-34-year-old-distilled-1978,https://cdn.diffords.com/contrib/bws/2017/10/59db9582b8580.jpg,"Port Ellen 34 Year Old, Distilled 1978","Category: Spirits
Sub category: Whisk(e)y
alc./vol: 55"
https://www.diffordsguide.com/beer-wine-spirits/4200/signatory-caol-ila-1984-sherry-cask-29-year-old,https://cdn.diffords.com/contrib/bws/2017/10/59db9593414b6.jpg,"Signatory Caol Ila 1984, Sherry Cask 29 Year Old","Category: Spirits
Sub category: Whisk(e)y
alc./vol: 54.7"
https://www.diffordsguide.com/beer-wine-spirits/4218/bowmore-50-year-old-1961,https://cdn.diffords.com/contrib/bws/2017/10/59db95afac4f2.jpg,Bowmore 50 Year Old 1961,"Category: Spirits
Sub category: Whisk(e)y
alc./vol: 40.7"
https://www.diffordsguide.com/beer-wine-spirits/4224/signatory-balmenach-1988-25-year-old,https://cdn.diffords.com/contrib/bws/2017/10/59db95b7bf8d0.jpg,"Signatory Balmenach 1988, 25 Year Old","Category: Spirits
Sub category: Whisk(e)y
alc./vol: 55.6"
https://www.diffordsguide.com/beer-wine-spirits/4280/signatory-clynelish-17-year-old-1995,https://cdn.diffords.com/contrib/bws/2017/10/59db95e6983f9.jpg,Signatory Clynelish 17 Year Old 1995,"Category: Spirits
Sub category: Whisk(e)y
alc./vol: 56.2"
https://www.diffordsguide.com/beer-wine-spirits/4302/de-vere-glenturret-1977,https://cdn.diffords.com/contrib/bws/2017/10/59db95fc53e81.jpg,De Vere Glenturret 1977,"Category: Spirits
Sub category: Whisk(e)y
alc./vol: 48"
https://www.diffordsguide.com/beer-wine-spirits/4303/de-vere-glenlivet-35-year-old-1977,https://cdn.diffords.com/contrib/bws/2017/10/59db95fcc005e.jpg,De Vere Glenlivet 35 Year Old 1977,"Category: Spirits
Sub category: Whisk(e)y
alc./vol: 48"
https://www.diffordsguide.com/beer-wine-spirits/4780/mortlach-18-year-old,https://cdn.diffords.com/contrib/bws/2017/10/59db97f94dbed.jpg,Mortlach 18 Year Old,"Category: Spirits
Sub category: Whisk(e)y
alc./vol: 43.4"
https://www.diffordsguide.com/beer-wine-spirits/4781/mortlach-25-year-old,https://cdn.diffords.com/contrib/bws/2017/10/59db97f999a0d.jpg,Mortlach 25 Year Old,"Category: Spirits
Sub category: Whisk(e)y
alc./vol: 43.4"
https://www.diffordsguide.com/beer-wine-spirits/4797/cragganmore-25-year-old-distilled-1988,https://cdn.diffords.com/contrib/bws/2017/10/59db9805470c9.jpg,Cragganmore 25 Year Old Distilled 1988,"Category: Spirits
Sub category: Whisk(e)y
alc./vol: 51.4"
https://www.diffordsguide.com/beer-wine-spirits/4800/clynelish-select-reserve,https://cdn.diffords.com/contrib/bws/2017/10/59db9806d7a8e.jpg,Clynelish Select Reserve,"Category: Spirits
Sub category: Whisk(e)y
alc./vol: 54.9"
https://www.diffordsguide.com/beer-wine-spirits/4802/caol-ila-30-year-old-distilled-1983,https://cdn.diffords.com/contrib/bws/2017/10/59db9807d7706.jpg,Caol Ila 30 Year Old Distilled 1983,"Category: Spirits
Sub category: Whisk(e)y
alc./vol: 55.1"
https://www.diffordsguide.com/beer-wine-spirits/4803/brora-35-year-old-distilled-1978,https://cdn.diffords.com/contrib/bws/2017/10/59db9808522e2.jpg,Brora 35 Year Old Distilled 1978,"Category: Spirits
Sub category: Whisk(e)y
alc./vol: 48.6"
