url,box__image src,category,box__copy,box__copy (2)
https://www.diffordsguide.com/beer-wine-spirits/category/443/cachaca,https://cdn.diffords.com/contrib/stock-images/2014/3/44/20141a85951f8b4ff3790607f5535cf848ae.jpg,Cachaça,"In Brazil, Cachaça is also marketed under the name caninha (‘little cane’) or as ‘aguardente de cana’, which means ‘distillate of cane’ but could be uncharitably translated as ‘cane firewater’. However, it has many other nicknames: garapa doida, pinga, parati, cana, imaculada, maria-branca, purinha and zuninga. The four million or so litres exported annually have to be called cachaça on the label.",
https://www.diffordsguide.com/beer-wine-spirits/category/349/calvados-and-straight-applejacks,https://cdn.diffords.com/contrib/encyclopedia/2021/10/616fc7fb23370.jpg,Calvados & straight applejacks,"Calvados is a French brandy made from apples (though it can also contain pears). The name is an Appellation d'Origine Contrôlée, meaning that calvados can only be produced in defined areas of North-Western France. (Calva, the French shortening of calvados, is used to denote an apple brandy other than Appellation d'Origine Contrôlée Calvados.)",
https://www.diffordsguide.com/beer-wine-spirits/category/563/canadian-whiskey,https://cdn.diffords.com/contrib/stock-images/2014/3/41/2014e28d33a38c086ad12d750e76adafc465.jpg,Canadian Whiskey,Canadian whisky (spelt without an 'e') has for decades been the best-selling whiskey in the USA and tends to be light bodied in style.,
https://www.diffordsguide.com/beer-wine-spirits/category/413/genever/jenever,https://cdn.diffords.com/contrib/stock-images/2014/3/06/201418ece6be2794441f7de806fa6115280d.jpg,Genever/Jenever,"Genever, also known as jenever, jeneva, geneva and hollands, is a juniper-flavoured spirit from Holland and Belgium. Like gin, juniper is an obligatory ingredient for genever but in general, genevers contain less juniper than gin.",
https://www.diffordsguide.com/beer-wine-spirits/category/380/grappa,https://cdn.diffords.com/contrib/stock-images/2014/4/20/20141c97fbeaa1181d27d5f9cc8d0237f3b2.jpg,Grappa,"Grappa is an Italian marc brandy made from the fermented skins, pips and stalks (known as pomace, marc or vinaccia in Italian) left after grapes have been pressed to extract juice for wine making. It may be bottled after distillation or matured in oak or other woods. Grappa originated in Italy and, in the E.U. to be termed a grappa, a brandy must be distilled in Italy from Italian grape pomace.",
https://www.diffordsguide.com/beer-wine-spirits/category/473/naval-rum,https://cdn.diffords.com/contrib/stock-images/2014/3/06/2014e4ff339d89c51a759db7865e4ee34f6e.jpg,Naval Rum,"The long connection between the Royal Navy and rum can be traced back to 1655 and Vice-Admiral William Penn's expedition to the West Indies. In addition to his own flagship, Penn's fleet consisted of 37 Men-of-war carrying 3,000 soldiers. His mission was to pursue Cromwell's aggressive policy of colonial expansion in the Caribbean against the Spanish, who were also pursuing a similar policy.",
https://www.diffordsguide.com/beer-wine-spirits/category/424/peruvian-pisco,https://cdn.diffords.com/contrib/stock-images/2014/10/41/20142697368337a5b082f5ad66e9b654c1b1.jpg,Peruvian pisco,"Pisco is the Peruvian National spirit. It is made by distilling wine fermented from the fresh must of eight specific varieties of vines to produce a clear, transparent brandy. Peruvian pisco stands out due to its traditional artisanal production methods and consequently tends to be more expensive than Chilean pisco and is considered by many the premium style of pisco.",
https://www.diffordsguide.com/beer-wine-spirits/category/420/pisco,https://cdn.diffords.com/contrib/stock-images/2014/5/58/20149f0c2c63c5ba55e7588017bd8b6c083b.jpg,Pisco,"Sometimes described as a squabble, a dispute, a deep-seated grievance or even a war, the disagreement between Peru and Chile over who owns pisco has been going for generations. The South-American grape brandy is produced in both countries, adored and excessively consumed in both, and they are each adamant it is their national drink.",
https://www.diffordsguide.com/beer-wine-spirits/category/538/poteens-poitins,https://cdn.diffords.com/contrib/stock-images/2015/9/38/201595645de0645ec92b512243583278ae45.jpg,Poteens / poitins,"Pronounced 'puh-cheen', this spirit has been produced in Ireland since the 1600s, when potatoes were first harvested. Sometimes known as 'Irish Moonshine' or 'Mountain Dew', the original Gaelic name Poitín is a diminutive of the Irish word 'pota', meaning 'little pot', highlighting the small-scale production in pot stills. Poitín has been anglicised to also be spelt poteen.",
https://www.diffordsguide.com/beer-wine-spirits/category/583/scotch-blended-scotch-whisky,https://cdn.diffords.com/contrib/stock-images/2014/3/06/2014882b75c4413a9d073b9af93d3442f834.jpg,Scotch - blended Scotch whisky,"Blended Scotch Whisky, or 'Scotch' for short, is by far the world's most popular whisky and accounts for well over 85% of all Scottish whisky sales. Although 'malt whisky' was the original Scottish whisky, and although it's become popular in recent decades, the majority of pot still malt whisky is still sold as a component in blended whiskies rather than as single malt whisky.",
https://www.diffordsguide.com/beer-wine-spirits/category/585/scotch-grain-whisky,https://cdn.diffords.com/contrib/stock-images/2014/4/20/2014b6b4b42be2357db54e14005d87d12239.jpg,Scotch Grain Whisky,"Until the 1830s almost all Scottish whisky was made exclusively from malted barley and produced in pot stills – i.e., it was what we would today call ‘malt whisky’. However, two developments brought about ‘Scottish grain whisky’ and ‘Scotch blended whisky’. The first was the development of a new type of still, the Coffey still, the second was the repeal of the British Corn Laws.",
https://www.diffordsguide.com/beer-wine-spirits/category/575/scotch-malt-whisky,https://cdn.diffords.com/contrib/stock-images/2016/5/13/2016cfccf12e298f3b68929af51c209d7225.JPG,Scotch Malt Whisky,The term ‘Single Malt Scotch’ refers to a whisky that fulfils all three elements of the term: SINGLE – the whisky must be from only one distillery. MALT – the raw material used must be malted barley and no other grain or fermentable material may be used. SCOTCH – the whisky must be distilled and matured in Scotland.,
https://www.diffordsguide.com/beer-wine-spirits/category/576/speyside-single-malt-whisky,https://cdn.diffords.com/contrib/stock-images/2016/5/32/2016749f83a647704d5461cb3c903726bc77.JPG,Speyside single malt whisky,"Single Malt Scotch whiskies are grouped by region, each embracing certain characteristics. These are: Highlands (inc. & Speyside), Lowlands, Islands, Islay and Campbeltown.",
https://www.diffordsguide.com/beer-wine-spirits/category/832/spiced-flavoured-rums,https://cdn.diffords.com/contrib/stock-images/2014/3/06/201489245b5e238f4a23511f052f3445fead.jpg,Spiced / Flavoured Rums,"The spectrum of rum ranges from light, vodka-like extra-light white rums through to characterful cognac-like aged rums with Navy, Dunder and such like in between. This already huge diversity of style and flavours is further bolstered by flavoured rums, including: spiced, vanilla and orange. The following defines the key categories:",
https://www.diffordsguide.com/beer-wine-spirits/category/589/tasmanian-whisky,https://cdn.diffords.com/contrib/stock-images/2014/6/03/20144e60e0a6458c714361ce8655531e0095.jpg,Tasmanian whisky,"Easily misunderstood as a pretty wilderness south of the mainland and famous for the Beaconsville mine collapse that left two men trapped a kilometre underground for two weeks, Tasmania is commonly referred to by the rest of Australia as a hippie backwater. But the world's 26th largest island is home to a well-respected and growing craft whisky industry.",
https://www.diffordsguide.com/beer-wine-spirits/category/384/tsipouro-t,https://cdn.diffords.com/contrib/encyclopedia/2020/12/5fdf3b3e8a659.jpg,Tsipouro / Τσίπουρο,"Tsipouro (Greek: τσίπουρο) is a traditional Greek spirit distilled from grape pomace. Bottled at 40-45% alc./vol, tsipouro comes in two types: unflavoured and flavoured, the latter usually with anise and fennel.",
https://www.diffordsguide.com/beer-wine-spirits/category/550/whiskey,https://cdn.diffords.com/contrib/stock-images/2014/6/51/20146a2b48b212f225265851472b45725bb5.jpg,Whisk(e)y,"The word ‘whiskey’ derives from the Gaelic ‘uisque beatha’, meaning ‘water of life’ and whiskies are distilled in countries around the world including Scotland, Ireland, USA, Canada, Australia and Japan. The spelling varies between countries with the ‘e’ either included or omitted (though ‘whiskey’ is the spelling for whiskies in general).",
